STATE,TIME_START,TIME_END,IS_CLOSED,COMPONENT_NAME
HV trip,05-JUN-17 06.22.20.256000000 AM,05-JUN-17 06.32.23.637000000 AM,1,ME+2/1/17/2/HVSegment1
HV trip,05-JUN-17 06.33.49.940000000 AM,05-JUN-17 06.43.53.435000000 AM,1,ME+2/1/17/1/HVSegment1
HV trip,05-JUN-17 06.34.27.222000000 AM,05-JUN-17 06.44.30.549000000 AM,1,ME-4/2/30/1/HVSegment5
HV trip,05-JUN-17 06.51.10.015000000 AM,05-JUN-17 07.01.15.631000000 AM,1,ME+4/2/24/6/HVSegment5
HV trip,05-JUN-17 06.54.30.862000000 AM,05-JUN-17 07.04.34.313000000 AM,1,ME+4/2/18/6/HVSegment5
HV trip,05-JUN-17 06.59.02.019000000 AM,05-JUN-17 07.09.05.282000000 AM,1,ME+2/1/17/1/HVSegment1
HV trip,05-JUN-17 07.10.18.891000000 AM,05-JUN-17 07.20.22.327000000 AM,1,ME+4/2/03/6/HVSegment5
HV trip,05-JUN-17 07.21.57.563000000 AM,05-JUN-17 07.32.00.869000000 AM,1,ME+4/2/24/6/HVSegment5
HV trip,05-JUN-17 07.34.59.318000000 AM,05-JUN-17 07.45.02.602000000 AM,1,ME+2/1/17/1/HVSegment1
HV trip,05-JUN-17 08.22.31.808000000 AM,05-JUN-17 08.32.35.079000000 AM,1,ME+4/2/03/6/HVSegment5
HV trip,05-JUN-17 09.09.20.523000000 AM,05-JUN-17 09.19.23.954000000 AM,1,ME+4/2/33/6/HVSegment5
HV trip,05-JUN-17 11.43.04.650000000 AM,05-JUN-17 11.53.07.910000000 AM,1,ME+3/1/09/5/HVSegment1
HV trip,06-JUN-17 03.25.54.881000000 AM,06-JUN-17 03.35.58.451000000 AM,1,ME+2/1/17/2/HVSegment1
HV trip,06-JUN-17 04.20.36.430000000 AM,06-JUN-17 04.30.39.773000000 AM,1,ME+2/1/17/1/HVSegment1
HV trip,06-JUN-17 05.00.19.029000000 AM,06-JUN-17 05.10.22.966000000 AM,1,ME+2/1/17/2/HVSegment1
HV trip,06-JUN-17 05.05.55.984000000 AM,06-JUN-17 05.15.59.290000000 AM,1,ME+2/1/17/1/HVSegment1
HV trip,06-JUN-17 05.06.48.725000000 AM,06-JUN-17 05.16.52.374000000 AM,1,ME+4/2/03/6/HVSegment5
