CONDITION_ID,STATE,TIME_START,TIME_END,IS_CLOSED,COMPONENT_NAME,REC_DESCRIPTION,FCT_VOLTAGE_SETTING
6088055912,HV weak channel,05-FEB-15 06.13.06.502000000 PM,13-MAY-15 05.39.45.363000000 PM,1,ME+1/1/06/4,HV channel has a lower than nominal voltage setting (2900 V),0
6088055912,HV weak channel,05-FEB-15 06.13.06.502000000 PM,13-MAY-15 05.39.45.363000000 PM,1,ME+1/1/06/4,HV channel has a lower than nominal voltage setting (2900 V),0
6088055912,HV weak channel,05-FEB-15 06.13.06.502000000 PM,13-MAY-15 05.39.45.363000000 PM,1,ME+1/1/06/4,HV channel has a lower than nominal voltage setting (2900 V),0
6088055912,HV weak channel,05-FEB-15 06.13.06.502000000 PM,13-MAY-15 05.39.45.363000000 PM,1,ME+1/1/06/4,HV channel has a lower than nominal voltage setting (2900 V),0
6088055912,HV weak channel,05-FEB-15 06.13.06.502000000 PM,13-MAY-15 05.39.45.363000000 PM,1,ME+1/1/06/4,HV channel has a lower than nominal voltage setting (2900 V),2900
6088055916,HV weak channel,05-FEB-15 06.13.06.665000000 PM,13-MAY-15 05.39.45.170000000 PM,1,ME+1/1/06/5,HV channel has a lower than nominal voltage setting (2900 V),0
6088055916,HV weak channel,05-FEB-15 06.13.06.665000000 PM,13-MAY-15 05.39.45.170000000 PM,1,ME+1/1/06/5,HV channel has a lower than nominal voltage setting (2900 V),0
6088055916,HV weak channel,05-FEB-15 06.13.06.665000000 PM,13-MAY-15 05.39.45.170000000 PM,1,ME+1/1/06/5,HV channel has a lower than nominal voltage setting (2900 V),0
6088055916,HV weak channel,05-FEB-15 06.13.06.665000000 PM,13-MAY-15 05.39.45.170000000 PM,1,ME+1/1/06/5,HV channel has a lower than nominal voltage setting (2900 V),0
6088055916,HV weak channel,05-FEB-15 06.13.06.665000000 PM,13-MAY-15 05.39.45.170000000 PM,1,ME+1/1/06/5,HV channel has a lower than nominal voltage setting (2900 V),0
6088055916,HV weak channel,05-FEB-15 06.13.06.665000000 PM,13-MAY-15 05.39.45.170000000 PM,1,ME+1/1/06/5,HV channel has a lower than nominal voltage setting (2900 V),0
6088055916,HV weak channel,05-FEB-15 06.13.06.665000000 PM,13-MAY-15 05.39.45.170000000 PM,1,ME+1/1/06/5,HV channel has a lower than nominal voltage setting (2900 V),2900
6088055920,HV weak channel,05-FEB-15 06.13.06.843000000 PM,13-MAY-15 05.39.44.929000000 PM,1,ME+1/1/06/6,HV channel has a lower than nominal voltage setting (2900 V),0
6088055920,HV weak channel,05-FEB-15 06.13.06.843000000 PM,13-MAY-15 05.39.44.929000000 PM,1,ME+1/1/06/6,HV channel has a lower than nominal voltage setting (2900 V),0
6088055920,HV weak channel,05-FEB-15 06.13.06.843000000 PM,13-MAY-15 05.39.44.929000000 PM,1,ME+1/1/06/6,HV channel has a lower than nominal voltage setting (2900 V),0
6088055920,HV weak channel,05-FEB-15 06.13.06.843000000 PM,13-MAY-15 05.39.44.929000000 PM,1,ME+1/1/06/6,HV channel has a lower than nominal voltage setting (2900 V),0
6088055920,HV weak channel,05-FEB-15 06.13.06.843000000 PM,13-MAY-15 05.39.44.929000000 PM,1,ME+1/1/06/6,HV channel has a lower than nominal voltage setting (2900 V),0
6088055920,HV weak channel,05-FEB-15 06.13.06.843000000 PM,13-MAY-15 05.39.44.929000000 PM,1,ME+1/1/06/6,HV channel has a lower than nominal voltage setting (2900 V),0
6088055920,HV weak channel,05-FEB-15 06.13.06.843000000 PM,13-MAY-15 05.39.44.929000000 PM,1,ME+1/1/06/6,HV channel has a lower than nominal voltage setting (2900 V),2900
6088055924,HV weak channel,05-FEB-15 06.13.07.048000000 PM,13-MAY-15 05.39.44.768000000 PM,1,ME+1/1/07/1,HV channel has a lower than nominal voltage setting (2900 V),0
