STATE,TIME_START,TIME_END,IS_CLOSED,COMPONENT_NAME
HV disabled channel,13-JUN-11 08.52.04.688000000 PM,13-JUN-11 09.09.15.983000000 PM,1,ME+1/3/22/1/HVSegment1
HV disabled channel,29-JUN-11 02.39.22.199000000 PM,08-JUL-11 05.46.58.477000000 PM,1,ME-1/1/07/5
HV disabled channel,09-AUG-11 12.56.16.829000000 AM,10-AUG-11 03.11.01.999000000 PM,1,ME-2/2/21/2/HVSegment5
HV disabled channel,11-AUG-11 05.59.19.423000000 AM,23-SEP-11 02.46.38.293000000 PM,1,ME-2/2/21/2/HVSegment5
HV disabled channel,18-AUG-11 04.28.57.017000000 AM,19-AUG-11 09.52.32.633000000 PM,1,ME-2/2/05/3/HVSegment1
HV disabled channel,24-AUG-11 05.07.44.149000000 PM,24-AUG-11 05.30.36.951000000 PM,1,ME-1/1/36/1
HV disabled channel,24-AUG-11 05.41.39.282000000 PM,24-AUG-11 05.45.09.802000000 PM,1,ME-1/1/36/1
HV disabled channel,15-SEP-11 11.10.07.144000000 PM,23-SEP-11 02.47.16.596000000 PM,1,ME-2/2/26/6/HVSegment1
HV disabled channel,17-SEP-11 01.48.23.736000000 AM,18-SEP-11 04.29.43.905000000 PM,1,ME-1/1/07/5
HV disabled channel,20-SEP-11 02.46.41.275000000 PM,20-SEP-11 05.22.55.424000000 PM,1,ME+1/1/33/6
HV disabled channel,20-SEP-11 05.25.04.115000000 PM,20-SEP-11 05.25.06.414000000 PM,1,ME+1/1/33/6
HV disabled channel,20-SEP-11 05.27.16.863000000 PM,20-SEP-11 05.27.19.699000000 PM,1,ME+1/1/33/6
HV disabled channel,20-SEP-11 05.27.49.638000000 PM,20-SEP-11 05.28.04.172000000 PM,1,ME+1/1/33/1
HV disabled channel,21-SEP-11 11.30.37.563000000 AM,23-SEP-11 10.36.05.630000000 AM,1,ME+1/1/33/6
HV disabled channel,22-SEP-11 07.55.36.141000000 AM,23-SEP-11 10.33.47.745000000 AM,1,ME-1/1/25/6
HV disabled channel,23-SEP-11 11.26.46.151000000 AM,26-SEP-11 03.19.39.583000000 PM,1,ME-1/1/25/6
HV disabled channel,23-SEP-11 07.40.25.949000000 PM,26-SEP-11 03.21.00.998000000 PM,1,ME+1/1/33/6
HV disabled channel,23-SEP-11 09.47.03.980000000 PM,10-NOV-11 09.18.02.180000000 AM,1,ME+2/1/13/6/HVSegment2
HV disabled channel,26-SEP-11 06.25.18.586000000 PM,26-SEP-11 07.38.30.661000000 PM,1,ME+1/1/33/6
HV disabled channel,26-SEP-11 08.10.21.810000000 PM,26-SEP-11 10.02.15.607000000 PM,1,ME-1/1/25/6
HV disabled channel,26-SEP-11 10.42.56.261000000 PM,27-SEP-11 04.05.47.203000000 PM,1,ME+1/1/33/6
HV disabled channel,28-SEP-11 05.26.13.058000000 AM,03-OCT-11 08.47.20.967000000 PM,1,ME+1/1/33/6
HV disabled channel,04-OCT-11 12.53.30.636000000 PM,05-OCT-11 10.43.10.512000000 PM,1,ME-1/1/26/6
HV disabled channel,06-OCT-11 01.43.56.129000000 PM,07-OCT-11 12.29.48.185000000 PM,1,ME+1/1/33/6
HV disabled channel,13-OCT-11 05.57.47.855000000 PM,15-OCT-11 09.50.07.335000000 PM,1,ME+1/1/01/5
HV disabled channel,16-OCT-11 09.57.23.734000000 PM,17-OCT-11 03.35.56.637000000 PM,1,ME-1/1/26/6
HV disabled channel,24-OCT-11 04.26.57.976000000 AM,25-OCT-11 04.30.41.846000000 PM,1,ME+1/1/01/5
HV disabled channel,26-OCT-11 12.32.02.973000000 PM,10-NOV-11 09.16.30.669000000 AM,1,ME+3/2/33/4/HVSegment2
HV disabled channel,28-OCT-11 01.34.04.903000000 AM,28-OCT-11 04.20.09.910000000 PM,1,ME+1/1/01/5
HV disabled channel,01-NOV-11 09.52.27.645000000 PM,01-NOV-11 10.08.00.703000000 PM,1,ME-1/1/26/6
HV disabled channel,01-NOV-11 10.40.39.597000000 PM,03-NOV-11 05.01.59.182000000 PM,1,ME-1/1/26/6
HV disabled channel,07-MAR-12 08.35.32.198000000 PM,12-MAR-12 03.34.09.048000000 PM,1,ME-1/1/25/4
HV disabled channel,07-APR-12 04.24.40.714000000 AM,10-APR-12 04.39.03.098000000 PM,1,ME+1/1/33/6
HV disabled channel,11-APR-12 02.37.03.997000000 PM,12-APR-12 11.46.27.869000000 AM,1,ME-2/2/05/3/HVSegment1
HV disabled channel,11-APR-12 02.37.17.636000000 PM,03-MAY-12 01.48.17.066000000 PM,1,ME-3/2/01/4/HVSegment3
HV disabled channel,11-APR-12 02.37.35.528000000 PM,12-APR-12 11.47.25.129000000 AM,1,ME+2/1/13/6/HVSegment2
HV disabled channel,12-APR-12 06.52.59.672000000 PM,13-APR-12 08.51.23.273000000 AM,1,ME+2/1/13/6/HVSegment2
HV disabled channel,13-APR-12 02.09.05.844000000 AM,13-APR-12 09.50.58.764000000 AM,1,ME+1/1/33/6
HV disabled channel,13-APR-12 09.52.00.960000000 AM,13-APR-12 11.23.21.741000000 AM,1,ME+1/1/33/6
HV disabled channel,13-APR-12 07.07.44.504000000 PM,19-APR-12 11.15.34.431000000 AM,1,ME+1/1/33/6
HV disabled channel,14-APR-12 05.40.16.717000000 AM,19-APR-12 10.29.28.731000000 AM,1,ME-1/1/05/2
HV disabled channel,18-APR-12 09.07.34.524000000 PM,19-APR-12 10.42.57.922000000 AM,1,ME+2/1/13/6/HVSegment2
